;Job_description;Label_true;Label_pred
10;per conto client fornisc servizi multimediali multipiattaforma aziend ricerchiamo sviluppator java la figura ricercata dovr svolger seguenti attivit sviluppo manutenzion applicativi capacit svolger revers engin capacit progettar sistemi api rest ottima conoscenza progettazion basi dati entit relazion maniera ordinata efficient abilit analisi conoscenza modelli principali architettur web spoof api ecc sempr crawler experi compagnia eticament responsabil il servizio gratuito i candidati ambosessi l d lg n invitati legger informativa privaci www experi it aut min prot n sg il titolar registrazion candidatura dichiara esser conoscenza sanzioni penali previst caso dichiarazioni mendaci contenenti dati pi rispondenti verit previsto d p r n;Java Developer;Java Developer
11;siamo ricerca risors motiv proattiv ment flessibil curiosa spiccata attitudin analisi problemi fortement motivati intraprender percorso crescita ambito sviluppo full stack sistemi informativi ict health care il candidato prescelto inserito interno team sviluppo softwar avr compito modellar sviluppar manutener applicazioni servizi particolar occup gestir progettazion sviluppo nuov applicazioni servizi manutener sviluppar softwar gestir integrazion applicativi esistenti sviluppar unit test funzionali aggiornar check list prodotto documentar attivit svolt;Software Engineer;Software Engineer
12;siamo ricerca risorsa occuparsi interessant progetto presso important client vicenza seguenti competenz;Web Developer;System Analyst
13;la risorsa lavor team progetto bancario finanziario;Software Engineer;Software Engineer
14;la risorsa lavor team progetto lato tecnico sviluppo implementazion soluzioni microsoft;Programmer;Programmer
15;siamo ricerca sviluppator full stack senior junior competenz prevalentement ambito sviluppo back end esperienz realizzazion applicazioni web utilizzato principali tecnologi ambito front end la sede lavoro milano attivit prevista modalit full remot;Java Developer;Java Developer
16;la risorsa collaborazion membri team progettazion sar responsabil progettazion sviluppo architettura softwar firmwar sviluppo prototipi concettuali system design attivit test funzional;Software Engineer;Software Engineer
17;api global talent partner ricerca societ client softwar develop junior senior inserir progetti attivit sviluppo full stack il candidato support team sviluppo fasi progettazion realizzazion nuovi applicativi sar affiancato figur senior prime fasi inserimento azienda;Software Engineer;Software Engineer
18;sistemista middlewar inserir attivit progettuali;System Analyst;System Analyst
19;consult adecco engin technic umbria ricerca societ operant settor progettazion sviluppo progetti gestionali complessi aziend sviluppator programmator senior esperienza inserimento team lavoro strutturato svolger attivit programmazion comportano progettazion codifica revision codic collaudo stesura documentazion applicazioni softwar erp la figura ricercata nello specifico candidato occup analizzar apportar modifich manutener programmi procedur comprender processi aziendali clienti dimostrando capacit analisi preparar documenti descrivono dettaglio progettazion funzionamento risoluzion problemi manutenzion applicazioni lavorar team contribuir miglioramento procedur processi sviluppo supportar attivit test bug fix richiesta requis laurea informatica ingegneria;Programmer;Programmer
20;sviluppator develop react agil;Programmer;Programmer
21;passion mondo sviluppo softwar coltivano contesti extra lavorativi mostrano interess curiosit costant verso nuov tecnologi seguito almeno progetto sviluppo cloud ambiscono solo lavorar grand brand cercano soprattutto possibilit seguir attivit stimolanti;Web Developer;Software Engineer
22;la risorsa sar inserita team risors deput sviluppo manutenzion softwar orientati processi mondo sanit es prenotazion cup gestion ricoveri reparti ospedalieri gestion piani vaccinali ambito amministrativo contabil flussi informativi rendicontazion verso ministeri;Web Developer;Web Developer
23;in particolar risorsa occup sviluppo progetti automazion controllo processi interno ufficio tecnico si recher onsit clienti attivit sviluppo personalizzazion softwar;Software Engineer;Software Engineer
24;sei java develop almeno anni d esperienza sei ricerca societ caretterizzata cultura aziendal informal supportiva una societ consulenza it oltr dipendenti italia ricerca sviluppatori java inserir presso sede milano avrai possibilit lavorar tecnologi avanguardia clienti importanti operanti principalment settor manufatturiero retail l azienda caratterizza cultura aziendal collaborativa informal garantendo propri dipendenti buon work life balanc;Java Developer;Java Developer
25;siamo ricerca disviluppatori ambito java il gruppo andr ampliar attual organico presso sede napoli preved inserimento circa nuov risors;Java Developer;Java Developer
26;progettar architettur logich fisich infrastrutturali supportar utenza interna amministrar storag piattaform visualizzazion per posizion oltr smart work richiesta disponibilit reperibilit sede sede attivit smart work presenza;System Analyst;System Analyst
27;la persona cercando avr modo confrontarsi realt aziendali struttur gestir lavori team composto esperti settor pronti collaborar garantir massimo efficienza raggiungimento risultati l obbiettivo sar supportar crescita clienti attraverso creazion commerc softwar gestionali cura infrastruttur microtec srl rappresentata team giovan successo candidato desideriamo incontrar persona marcia pi appassionata propositiva intuitiva fort capacit logica d analisi dopo primo periodo formazion affiancamento sar autonoma gestir sviluppo progetti clienti;Programmer;Software Engineer
28;la risorsa occup programmazion gestion sito web;Web Developer;Web Developer
29;il consulent oper interno azienda leader settor media and advertis l azienda question avviato percorso profonda trasformazion sistemi processi in tale contesto consulent sar coinvolto attivit integrazion sistemi legaci on premis sistemi saa cloud attivit consolidamento rivisitazion sistemi on premis general inizi trasformazion integrazion il consulent contribuir attivit progettuali run collaborando innovazion progettazion configurazion manutenzion buon funzionamento sistemi informativi interni supporto utenti busi basati principalment sistemi operativi microsoft on premis cloud il consulent dovr approcciarsi diversi contesti aziendali partecipando innovazion contesto tecnologico eterogeneo costant sviluppo;Software Engineer;Software Engineer
30;la risorsa occup manutenzion installazion principali softwar livello industrial;Programmer;Software Engineer
31;si richied conoscenza pi importanti cm wordpress prestashop magento joomla;Java Developer;Web Developer
32;la figura richiesta tipo tecnico sistemistico almeno anni esperienz infrastruttur livello enterpris buona conoscenza ingles assum ruolo sistemista senior abbastanza esperienza leader tecnico gruppo infrastruttur;System Analyst;System Analyst
33;archimed spa filial modena ricerca azienda client settor automazion programmator pc la risorsa sar inserita interno organico lavori team macchin settor automazion requis conoscenza linguaggio delphi c disponibilit trasfert italia estero anno conoscenza fluent lingua ingles zona lavoro modena mo orario lavoro full time si offr opportunit lavoro tempo determinato tramit agenzia finalizzato inserimento azienda tempo indeterminato per candidarsi posizion sottoscriver offerta corrispondent sito aziendal dopo aver completato iscrizion link http www archimedespa it candidati area riservata candidati inviar mail indirizzo modena archimedespa it autorizzando trattamento dati i candidati invitati prender vision informativa privaci sito www archimedespa it l offerta lavoro intend rivolta entrambi;Programmer;Programmer
34;sviluppator java fullstack inserir attivit progettuali;Java Developer;Programmer
35;job summari parola chiav digitalizzazion uno principali obiettivi ectm rivoluzionar chiav digital mondo edilizia andando trasformar settori meno digitalizzati cerchiamo quindi programmator proattivo entusiasta dinamico progettar sviluppar gestir innov architettur web articol microservizi e finita qui se curiosit passion sviluppo tecnologico digital caratterizzano qualit programmator potrai metterti prova ideazion creazion lancio soluzioni web innov dando vita vision inedita convenzional rete servizio edilizia settor ingegneristico lavorando agil supporterai squadra vari fasi lavoro raggiungendo team obiettivi lungo termin sarai part ectm condividerai ambizioni progressi sviluppando nuovi prodotti digitali cosa cerchiamo te ecco principali tecnologi utilizzerai requis fondamentali lavorar insiem senza mai smetter crear progettar divertirti angular laravel php microservizi mysql nice to have docker redux react creder propost scelt ricorda lavorerai solo ectm insiem ectm i progetti quali prenderai part frutto intuizioni capacit proporr trasmetter team lavoro ide opinioni soluzioni propension costruir vision strategica d insiem vari mansioni verranno assegn capacit comprender condivider squadra feedback responsabil senior vari figur quali confronterai richiesta presenza roma valuteremo possibilit remot work parzial pi avanti ora bisogno te qui team il team attualment composto programmatori coordinati lead develop ma lavorerai solo i progetti quali prenderai part infatti permetteranno interfacciarti quotidianament project manag ingegneri architetti creativi graphic design molti altri professionisti realt multidisciplinar consentir sviluppar nuov skill prezios abilit trasversali cosa offriamo azienda altament tecnologica quasi paperless contratto tempo indeterminato mensilit ccnl studi professionali pacchetto welfar aziendal volto fornir team servizi agevolazioni inizi migliorino sensibilment vita azienda buoni pasto giornalieri flessibilit oraria formazion continua organizzazion orizzontal trasversal ruoli competenz ufficio zona central ben collegato metropolitana autobu ral prevista base senior k k se quel letto fin qui incuriosito passion condivision lavoro squadra te valori fondamentali inviaci subito candidatura entrando far part team ectm conoscerai realt inclusiva sinergica volta interazion crescita innovazion;Web Developer;Web Developer
36;societ mediazion immobiliar tm ambito propri programmi sviluppo ricerca posizion stagista full time architetto design esperienza progettazion interni esterni richiesta ottima padronanza autocad softwar render d pacchetto offic adob photoshop l orario lavoro full time il present annuncio rivolg candidati ambo sessi l si prega inviar dettagliato curriculum vita rilasciando specifica autorizzazion privaci l contatta utent contatta utent ingegner sviluppo prodotto progettazion per prestigiosa azienda settor gomma plastica operant comparto automot cerchiamo ingegner inserir ambito area tecnica la risorsa sar inserita area tecnica occup prevalentement progettazion sviluppo prodotto requis laurea ingegneria esperienza maturata ambito settor automot posizioni legat progettazion ufficio tecnico sviluppo prodotto ottima conoscenza principali sistemi operativi ottima conoscenza programma cad progettazion d softwar avanzati progettazion render buona conoscenza lingua ingles completano figura capacit analisi sintesi orientamento problem solv buon doti relazionali sede lavoro frosinon l annuncio rivolto personal ambosesso riferimento d lg il titolar openjobmeti s p a agenzia lavoro sede legal via general g fara n milano la informa trattamento dati personali forniti avverr mediant strumenti manuali informatici telematici si invitano candidati trasmetter esclusivament dati necessari valutar proprio profilo professional inviar dati sensibili i dati trattati personal openjobmeti potranno esser comunicati utilizzatori interessati avvalersi sua attivit lavorativa i dati diffusi per conoscer modalit esercizio diritti le confer aver ulteriori informazioni consulti privaci polici openjobmeti it autorizzazion ministerial aut prot n sg clicca link sottostant sito web inviarci candidatura contatta utent contatta utent filial roma officespecializzazion engin con team specializzato ricerca selezion profili ambito engin ricerchiamo per important azienda client operant ambito servizi energia mobilit elettrica progettista light illuminazion pubblica il la titolar posizion dovr svolger ruolo progettista outdoor indoor light progetti sviluppati campo pubblica amministrazion in particolar attivit candidato dovr eseguir esecuzion attivit ingegneria studi fattibilit tutt soluzioni portafoglio esempio offert tecnich valutazioni costi partecipazion procedur evidenza pubblica redazion progetti preliminari definitivi esecutivi relativi riqualificazion messa norma impianti illuminazion pubblica interni elaborazion propost progettuali inerenti servizio integrato illuminazion pubblica sistemi smart citi internet of thing sistemi telecontrollo electr build elettrificazion edifici pubblich amministrazioni verifica coordinamento attivit svolt collaboratori fornitori esterni attivit assistenza tecnica specialistica unit oper mainten attivit redazion specifich tecnich predisposizion gare fornitura attivit assistenza redazion procedur requis richiesti laurea specialistica ingegneria elettrica elettronica energetica architettura eventual master light design gradito esperienza anni ambito progettazion impianti illuminazion pubblica conoscenza utilizzo softwar disegno autocad calcoli elettrici illuminotecnici ottima conoscenza pacchetto offic particolar excel ottima conoscenza lingua ingles sede lavoro roma rm si offr inizial inserimento somministrazion inizial mesi clicca link sottostant sito web inviarci candidatura contatta utent grazi averci aiutato far rispettar regol pubblicazion annunci segnalazion gi inviata grazi averci aiutato far rispettar regol pubblicazion annunci spiacenti invio segnalazion riuscito riprova oppur contatta assistenza clienti ho letto informativa privaci do consenso ricever email offert rel kijiji do consenso ricever email promozionali part terzi inclus societ gruppo ebay conferma esser robot cliccando invia accetti condizioni sito;Software Engineer;Java Developer
37;ictpi division informatica lavoropi ricerca develop almeno anno esperienza ruolo;Java Developer;Java Developer
38;il candidato expertis dyn fo cloud particolar processo produzion logistica rispond responsabil area demand chang si occup assicurar attivit analisi processo integrazion onfigurazion sistemi informativi qualit expert sistema dynam fo cloud particolar riferimento processo produzion logistica;System Analyst;System Analyst
39;direzion lavoro group spa aut min cerca azienda client segretaria esperienza studio legal la risorsa occup gestion due dilig documentazion direzion lavoro group aut min ricerca azienda client impiegato contabil la principal attivit sar tramit piattaforma zucchetti adh individuazion predisposizion direzion lavoro group spa aut min costant crescita ricerca proprio staff interno account manag servizi hr requisito indispensabil esperienza pregressa maturata in agenzia per il direzion lavoro group aut min cerca azienda operant settor distribuzion prodotti ortofrutticoli addetto al pick preparator ordini settor ortofrutta si richied esperienza direzion lavoro group s p a aut min ricerca azienda client venditor la risorsa inserita reparto commercial occup requis richiesti diploma laurea dinamicit direzion lavoro group s p a aut min ricerca important azienda addetto a ufficio gare e appalti la risorsa dovr occuparsi supporto amministrativo relazion procedur direzion lavoro group spa aut min cerca azienda client modellista abbigliamento tecnico utilizzo autocad la risorsa occup insiem team disegnar progettar gestir tagli direzion lavoro group aut min ricerca azienda client impiegato addetto all amministrazion del personal la risorsa dovr occuparsi gestir piena autonomia adempimenti connessi direzion lavoro group aut min ricerca azienda client figura contabil studio commercialista le attivit svolger registrazion fattur clienti fornitori prima nota cassa;Java Developer;System Analyst
40;il candidato ricerca progetta scrive testa nuovi programmi applicazioni softwar utilizzando metodologi softwar agil mantien sistemi monitorando identificando correggendo difetti softwar analizza risolv problemi produzion evolvendo servizi lavorando ottimizzazion;Programmer;Software Engineer
41;biemmepi sistemi ricerca sviluppator softwar la risorsa individuata verr inserita interno area ricerca sviluppo partecip attivament progettazion sviluppo prodotto requis richiesti esperienza minima anni sviluppator softwar capacit sviluppo softwar ambient window conoscenza ambient sviluppo visual studio conoscenza linguaggi c c c framework net abitudin utilizzo softwar version codic costituiscono caratteristich preferenziali sviluppo softwar campo robotica industrial sviluppo softwar campo cad cam conoscenza tecnich lavorazioni fresatura tramit macchinari cnc abilit capacit lavorar team capacit portar avanti autonomia progetti assegnati l inserimento avver contratto inquadramento commisurati esperienza ruolo contratto lavoro tempo pieno;Software Engineer;Software Engineer
42;ictpi division informatica lavoropi ricerca important societ consulenza it programmator net core cosa offr azienda reali prospett crescita ambient smart stimolant;Java Developer;Java Developer
43;in avanad coltiviamo passion innovazion sappiamo skill individuali inserit team cardin aiutar clienti generar valor raggiunger propri obiettivi stiamo espandendo area cloud applic altri settori operiamo desideriamo incontrar professionisti ambizion voglia esser avanguardia tecnologica cerchiamo azur cloud softwar engin esperienza architettur microservizi deploy cloud microsoft azur i candidati verranno inser talent commun softwar engin verranno coinvolti progetti respiro internazional altament sfidant clienti milano roma questa occasion almeno anni esperienza oop esperienza framework net core almeno anni esperienza piattaforma azur riferimento particolar utilizzo servizi iaa paa quali azur function azur servic fabric azur logic app api manag esperienza modellazion basi dati utilizzo linguaggi queri sql server on prem on cloud esperienza utilizzo applicazion strumenti devop quali esempio azur devop per via contesto internazional inoltr importanti padronanza lingua ingles scritta parlata grand attitudin lavoro team ti rivedi come and join us weareavanad avanadeproud avanadefamili orangefamili employ transpar avanad is an equal opportun employ avanad prohibit discrimin and harass against ani employe or applic for employ becaus of race color age religion sex nation origin gender ident or express sexual orient disabl veteran militari or marit statu genet inform or ani other protect statu the eeo is the law poster is avail here and poster supplement is avail here the pay transpar polici is avail here avanad is commit to work with and provid reason accommod to individu with disabl if you need reason accommod due to disabl for ani part of the employ process pleas send an mail to avanad at career avanad com or call and let us know the natur of your request and your contact inform;Software Engineer;Software Engineer
44;la figura ideal possied formazion informatica maturato esperienza almeno biennal ruolo analogo saranno valutati profili junior interessati percorso formazion specializzazion ruolo;Java Developer;Java Developer
45;fere spa filial rovato ricerca important azienda client programmator softwar junior la risorsa dovr conoscer seguenti linguaggi visual basic net visual basic c c;Programmer;Programmer
46;siamo ricerca risorsa esperienza ricopra ruolo disistemista it network cloudda inserir ambito energi l obiettivo principal figura supportar trasformazion digital applicazioni crm busi intellig on premis ambito cloud;System Analyst;System Analyst
47;la risorsa verr inserita interno ufficio softwar occup sviluppar softwar macchin stampa digital piastrel;Software Engineer;Software Engineer
48;la risorsa strategica organizzazion rispond direttament direzion r d affianch responsabil team lavoro definizion specifich identificazion criticit pianificazion sviluppo;Programmer;Web Developer
49;per potenziamento proprio organico ricerca figura inserir reparto it mansion sistemista tecnico informatico nello specifico figura ricercata occupera supporto i ii livello client server gestion part network;System Analyst;System Analyst
50;we re search for control develop function specialist bm experi compagnia eticament responsabil il servizio gratuito i candidati ambosessi l d lg n invitati legger informativa privaci www experi it aut min prot n sg il titolar registrazion candidatura dichiara esser conoscenza sanzioni penali previst caso dichiarazioni mendaci contenenti dati pi rispondenti verit previsto d p r n control develop bm;Web Developer;Web Developer
51;sei appassionato digit nuov tecnologi hai fort predisposizion sviluppo soluzioni it al fine rafforzar team dedicato sviluppo soluzioni gestionali ricerca full stack develop;Web Developer;Web Developer
52;vuoi lavorar java develop back end azienda arco ti occuperai sviluppar soluzioni funzion requis specifici progetto coinvolto possibilit veder altri aspetti ciclo vita prodotto occupandoti attivit test verifica funzionalit;Java Developer;Java Developer
53;il programmator informatico junior junior comput programm occup scriver codic leggibil elegant performant programmar softwar risponder esigenz committent verificar corretto funzionamento programma fase test risolver bug errori fase debug troubleshoot consegnar version definitiva softwar collaborar creazion documentazion tecnica relativa programma curar aggiornamento mantenimento softwar programmati;Programmer;Programmer
54;questa grand opportunit entrar far part team esperto hardwar softwar fpga ingegneri meccanici lavorano avanguardia modern tecnologi sviluppo softwar mirato piattaform embed fascia alta identificar gestir rischi relativi softwar modo ridurr minimo effetto funzionalit consegna lavorar stretto contatto ingegneri meccanici hardwar fpga softwar fornir soluzioni softwar soddisfino esigenz azienda lo sviluppo sar principalment c c variet linguaggi script conoscenza fluent lingua ingles disponibilit viaggiar;Software Engineer;Software Engineer
55;ricerchiamo sviluppatori analisti programmatori java brillanti talentuosi inserir team sviluppo;Java Developer;Java Developer
56;siamo ricerca big data develop coinvolger progetto cofinanziato union europea il progetto consist creazion sistema analisi dati geografici architettura hpc big data attraverso tecnich standard machin learn creazion marketplac condivision scambio know how tecnico analisi il ruolo sviluppar modelli comput vision dispositivi iot finalizzati rilevamento tempo real oggetti attraverso stream video algoritmi analisi predittiva competenz tecnich richiest python machin learn comput vision tensorflow sono consider plu familiarit sistemi operativi unix backgound sviluppo ambito it particolar java architettur bigdata architettur contain interess esperienza mondo iot soft skill capacit lavorar team fort orientamento problem solv atteggiamento propositivo autonomia portar termin task supportar team raggiungimento obiettivi comuni esperienza diploma laurea almeno anni esperienza almeno tecnologi richiest sede lavoro roma smart work cosa offriamo inquadramento contrattual ral definir base tm esperienza ruolo possibilit lavoro team strutturati progetti altament stimolanti opportunit crescita attraverso piani carriera personalizzati formazion costant personalizzata base profilo chi k gruppo italiano proprio focu modern tecnologi tm informazion tm apprendimento digital tm innovazion realizziamo soluzioni costruit architettur applic tecnologich facilitano tm innovazion sicurezza tm integrazion perform piattaform vengono svilupp eseguit applicazioni crediamo raggiunger risultati eccellenza necessario valorizzar person lavorano all tm interno squadra contributo ciascuno pu offrir determinant raggiungimento risultati successo per creiamo contesto favorisca tm espression ide convinti tm eccellenza raggiunga condivision soluzioni innov possibilit carriera ampi rapid meritevoli possano imporsi rapidament punti riferimento settor per dedichiamo particolar attenzion creazion gruppo lavoro considerando singol personalit valor aggiunto ai sensi normativa vigent offerta lavoro intend estesa entrambi sessi l i dati personali trattati solo finalit ricerca selezion valutazion personal contatta utent contatta utent omicron consult azienda informatica present territorio quarant anni ricerca attivit romasolut develop seniorcon almeno anni esperienza competenz necessari richiest java avanzatoo framework spring springbooto web servic resto camunda bpmno kafkao hazelcasto db oracl uso git pvc gli interessati possono inviar dettagliato cv corredato autorizzazion trattamento dati personali sensi d lg n art gdpr indicando riferimento develop rm indirizzo email riportato il present annuncio rivolto entrambi sessi sensi legg clicca link sottostant sito web inviarci candidatura contatta utent contatta utent siamo ricerca big data develop coinvolger progetto cofinanziato union europea il progetto consist creazion sistema analisi dati geografici architettura hpc big data attraverso tecnich standard machin learn creazion marketplac condivision scambio know how tecnico analisi il ruolo sviluppar modelli comput vision dispositivi iot finalizzati rilevamento tempo real oggetti attraverso stream video algoritmi analisi predittiva competenz tecnich richiest python machin learn comput vision tensorflow sono consider plu familiarit sistemi operativi unix backgound sviluppo ambito it particolar java architettur bigdata architettur containerinteress esperienza mondo iot soft skill capacit lavorar teamfort orientamento problem solvingatteggiamento propositivoautonomia portar termin task supportar team raggiungimento obiettivi comuni esperienza diploma laurea almeno anni esperienza almeno tecnologi richiest sede lavoro roma smart work cosa offriamo inquadramento contrattual ral definir base esperienza ruolo possibilit lavoro team strutturati progetti altament stimolanti opportunit crescita attraverso piani carriera personalizzati formazion costant personalizzata base profilo chi k gruppo italiano proprio focu modern tecnologi informazion apprendimento digital innovazion realizziamo soluzioni costruit architettur applic tecnologich facilitano innovazion sicurezza integrazion perform piattaform vengono svilupp eseguit applicazioni crediamo raggiunger risultati eccellenza necessario valorizzar person lavorano all interno squadra contributo ciascuno pu offrir determinant raggiungimento risultati successo per creiamo contesto favorisca espression ide convinti eccellenza raggiunga condivision soluzioni innov possibilit carriera ampi rapid meritevoli possano imporsi rapidament punti riferimento settor per dedichiamo particolar attenzion creazion gruppo lavoro considerando singol personalit valor aggiunto inviaci curriculum vita autorizzazion sensi d lg vedi modalit candidatura oggetto mail big data develop se trovato offerta giusta piacerebb entrar comunqu team mandaci mail vedi modalit candidatura dicci cosa piacerebb candidarti sempr pronti conoscer nuovi talenti ai sensi normativa vigent offerta lavoro intend estesa entrambi sessi l i dati personali trattati solo finalit ricerca selezion valutazion personal clicca link sottostant sito web inviarci candidatura contatta utent contatta utent ricerch simili big jim big power big power big bag big power segnalazion gi inviata grazi averci aiutato far rispettar regol pubblicazion annunci spiacenti invio segnalazion riuscito riprova oppur contatta assistenza clienti ho letto informativa privaci do consenso ricever email offert rel kijiji do consenso ricever email promozionali part terzi inclus societ gruppo ebay conferma esser robot cliccando invia accetti condizioni sito;Java Developer;Java Developer
57;siamo ricerca sviluppator web entri far part team giovan dinamico capac gestir autonomia nuovi progetti sviluppo;Web Developer;Web Developer
58;l attivit sar interament gestibil smart work verrai inserito interno compet center focalizzato tecnologi microsoft dedicato gestion sviluppo applicazioni web svolgerai attivit sviluppo configurazion manutenzion applicazioni piattaform client utilizzando principali tecnologi microsoft quali c net occuperai analisi funzional progetti assegnati attraverso definizion requis progettazion analisi dati da ogni proposta valutata accolta ottica poterci migliorar maniera continuativa soffermiamo target gi raggiunti puntiamo miglioramento costant continua ricerca nuovi stimoli nuov strade percorrer all interno gruppo k pnp www pnp tech com azienda specializzata quattro are tecnologich legat gestion informazion sap iot gi devop rispondiamo bisogni concreti clienti competenza passion investiamo sviluppo soluzioni innov formazion tecnica personal fine offrir perform pi alt mercato;Programmer;Programmer
59;eurointerim s p a filial guastalla ricerca azienda client operant settor metalmeccanico profilo professional inserir area tecnica tecnico programmator la figura professional ricercata team lavoro subordinato responsabil occup seguenti attivit programmazion macchin laser spessori materiali etc i requis fondamentali svolgimento ruolo esperienza medesima mansion ottima conoscenza disegno tecnico diploma qualifica indirizzo tecnico completano profilo caratter dinamico autonomia pianificazion programmazion lavoro attitudin lavoro team precision organizzazion gestion tempo capacit adattamento tipo assunzion inizial contratto tempo determinato agenzia possibilit continuit azienda disponibilit lavorativa full time luogo lavoro guastalla re la ricerca rivolg candidati ambosessi d lg n;Programmer;Programmer
60;academi sviluppatori firmwar se interessato crescer progettazion firmwar piacerebb approfondir tematich progettazion microcontrollor percorso fa te la academi percorso formativo professional gratuito volto formar figura sviluppator firmwar nello specifico tematich affront divis moduli teorico pratici permetteranno esser principalment formato linguaggio c c sistemi operativi real time microcontrollori risc cisc fine aver competenz base progettazion sistemi embed a conclusion corso gi group spa support verso inserimento aziend settor elettronico;Programmer;Programmer
